Anthony Bennett,6.9,11.4,-0.4,0.3,-0.028,.017,-7.3,-4.8,-0.9,-0.6
Victor Oladipo,13.6,15.9,1.3,3.5,.026,.065,-0.8,0.0,0.8,1.3
Otto Porter,6.0,11.6,0.0,2.7,-0.006,.092,-6.8,-0.4,-0.4,0.6
Cody Zeller,13.1,14.1,2.6,3.8,.090,.123,-1.3,0.4,0.2,0.9
Alex Len,7.3,13.5,0.2,3.4,.024,.107,-5.9,-1.0,-0.4,0.4
Nerlens Noel,15.0,16.2,4.0,3.0,.083,.074,0.8,0.7,1.6,1.3
Ben McLemore,7.7,10.4,0.8,2.5,.016,.045,-3.2,-0.8,-0.6,0.8
Kentavious Caldwell-Pope,9.4,11.2,1.8,2.8,.055,.052,-2.1,-1.0,0.0,0.6
Trey Burke,12.6,12.6,0.9,2.4,.020,.050,-2.5,-1.9,-0.3,0.1
C.J. McCollum,9.0,13.1,0.2,1.8,.019,.089,-4.1,-0.7,-0.3,0.3
Michael Carter-Williams,15.5,14.1,1.3,0.8,.026,.017,-0.2,-0.7,1.1,0.7
Steven Adams,11.2,14.1,2.9,4.1,.114,.111,0.3,0.4,0.7,1.1
Kelly Olynyk,15.2,15.9,2.9,3.6,.101,.120,0.5,2.1,0.9,1.5
Shabazz Muhammad,13.1,19.9,0.3,2.0,.053,.110,-6.2,-1.8,-0.3,0.0
Shane Larkin,8.3,10.9,-0.1,1.7,-0.010,.045,-4.7,-2.4,-0.3,-0.2
Tony Snell,8.0,10.2,1.6,2.4,.063,.082,-3.0,-1.5,-0.3,0.2
Gorgui Dieng,16.5,17.2,2.2,4.9,.129,.108,0.7,2.5,0.5,2.5
Mason Plumlee,19.0,18.0,4.7,4.8,.176,.131,2.4,0.8,1.4,1.2
Solomon Hill,7.6,10.2,0.4,3.5,.080,.072,-2.3,-0.3,0.0,1.0
Tim Hardaway,12.7,12.1,3.1,0.8,.080,.023,-2.3,-4.1,-0.1,-0.9
Reggie Bullock,6.7,6.2,0.2,0.1,.019,.019,-4.7,-4.0,-0.3,-0.2
Andre Roberson,9.0,9.1,0.8,2.1,.099,.079,-0.3,0.3,0.2,0.7
Archie Goodwin,10.3,11.2,0.2,0.2,.018,.014,-4.3,-4.5,-0.3,-0.3
