Derrick Rose,16.0,18.6,4.9,6.0,.078,.100,-0.6,0.5,1.1,1.8
Michael Beasley,17.2,16.1,3.4,4.6,.081,.095,-4.3,-1.7,-1.2,0.2
O.J. Mayo,14.2,14.6,3.4,5.6,.052,.087,-0.9,0.4,0.9,1.9
Russell Westbrook,15.2,17.8,1.9,6.1,.035,.105,-0.1,2.1,1.3,2.9
Kevin Love,18.3,20.7,5.3,4.9,.124,.138,-1.1,1.9,0.5,1.7
Eric Gordon,14.9,14.1,4.6,3.2,.082,.069,-0.4,-0.5,1.1,0.9
Joe Alexander,10.1,2.8,0.4,0.0,.030,.030,-3.3,-3.7,-0.2,0.0
D.J. Augustin,14.9,11.2,5.1,2.8,.128,.092,-0.7,-2.6,0.6,-0.2
Brook Lopez,17.9,20.1,5.8,7.9,.112,.125,0.0,1.9,1.2,3.0
Jerryd Bayless,8.2,14.3,0.3,2.7,.019,.098,-5.4,-2.5,-0.6,-0.2
Jason Thompson,13.9,14.6,2.7,4.0,.057,.081,-2.7,-0.9,-0.4,0.7
Brandon Rush,9.0,9.6,0.9,2.5,.024,.047,-3.4,-1.3,-0.7,0.4
Anthony Randolph,16.9,18.7,1.6,1.5,.069,.098,-2.5,-1.4,-0.1,0.1
Robin Lopez,11.6,17.6,1.1,3.2,.083,.158,-2.3,-1.0,0.0,0.3
Marreese Speights,17.9,17.6,3.8,2.1,.146,.101,-1.7,-3.9,0.1,-0.5
Roy Hibbert,16.1,16.2,2.1,4.1,.102,.098,-1.3,0.3,0.2,1.2
JaVale McGee,17.0,17.0,2.0,2.1,.084,.105,-3.1,-1.5,-0.3,0.1
J.J. Hickson,12.5,15.2,1.5,4.3,.101,.123,-4.5,-2.6,-0.4,-0.2
Ryan Anderson,13.6,18.1,2.5,3.1,.090,.161,-1.1,1.3,0.3,0.8
Courtney Lee,10.7,12.8,4.4,3.1,.108,.063,0.5,-0.8,1.2,0.7
Kosta Koufos,15.2,7.7,1.3,0.0,.112,.014,-1.6,-6.6,0.1,-0.2
George Hill,11.6,14.7,2.1,6.7,.080,.142,-1.8,1.5,0.1,2.0
Darrell Arthur,11.3,10.5,1.7,0.3,.055,.031,-3.1,-4.3,-0.4,-0.3
Donte Greene,5.2,11.6,-1.1,1.5,-0.074,.044,-7.8,-2.4,-1.1,-0.2
D.J. White,19.8,25.9,0.4,0.6,.157,.276,-1.0,3.3,0.0,0.1
J.R. Giddens,26.0,9.2,0.0,0.1,.201,.021,-0.7,-4.7,0.0,-0.2
